"Order","Book","Introduction",,"Notes: Need 5 characters for unique reference: Philemon vs. Philippians.
Gospel readings will need to be treated separately.
Some names are shorter (e.g., Job).
Making some choices for the sake of familiarity of readers who might not be comfortable pronouncing “Thessalonica”.
Gospel readings will need to be treated separately for the sake of the Daily Office."
13,"1 Chronicles","A reading from first Chronicles.",,
62,"1 Corinthians","A reading from Paul’s first epistle to the church in Corinth.",,
45,"1 Esdras","A reading from first Esdras.",,
78,"1 John","A reading from the first epistle of John.",,
11,"1 Kings","A reading from first Kings.",,
51,"1 Maccabees","A reading from first Maccabees.",,
76,"1 Peter","A reading from Peter’s first epistle.",,
9,"1 Samuel","A reading from first Samuel.",,
68,"1 Thessalonians","A reading from Paul’s first epistle to the Thessalonians.",,
70,"1 Timothy","A reading from Paul’s first epistle to Timothy.",,
14,"2 Chronicles","A reading from second Chronicles.",,
63,"2 Corinthians","A reading from Paul’s second epistle to the church in Corinth.",,
46,"2 Esdras","A reading from second Esdras.",,
79,"2 John","A reading from the second epistle of John.",,
12,"2 Kings","A reading from second Kings.",,
52,"2 Maccabees","A reading from second Maccabees.",,
77,"2 Peter","A reading from Peter’s second epistle.",,
10,"2 Samuel","A reading from second Samuel.",,
69,"2 Thessalonians","A reading from Paul’s second epistle to the Thessalonians.",,
71,"2 Timothy","A reading from Paul’s second epistle to Timothy.",,
80,"3 John","A reading from the third epistle of John.",,
53,"3 Maccabees","A reading from third Maccabees.",,
54,"4 Maccabees","A reading from fourth Maccabees.",,
60,"Acts of the Apostles","A reading from the Acts of the Apostles.",,
41,"Additions to Esther","A reading from the book of Esther.",,
29,"Amos","A reading from the prophet Amos.",,
44,"Baruch","A reading from the book of Baruch.",,
50,"Bel and the Dragon","A reading from Bel and the Dragon.",,
67,"Colossians","A reading from the epistle to the Colossians.",,
26,"Daniel","A reading from the prophet Daniel.",,
5,"Deuteronomy","A reading from the book of Deuteronomy.",,
20,"Ecclesiastes","A reading from the book of Ecclesiastes.",,
65,"Ephesians","A reading from Paul’s epistle to the church in Ephesus.",,
16,"Esther","A reading from the book of Esther.",,
2,"Exodus","A reading from the book of Exodus.",,
25,"Ezekiel","A reading from the prophet Ezekiel.",,
15,"Ezra","A reading from the prophet Ezra.",,
64,"Galatians","A reading from Paul’s epistle to the Galatians.",,
1,"Genesis","A reading from the book of Genesis.",,
34,"Habakkuk","A reading from the prophet Habakkuk.",,
36,"Haggai","A reading from the prophet Haggai.",,
74,"Hebrews","A reading from the book of Hebrews.",,
27,"Hosea","A reading from the prophet Hosea.",,
22,"Isaiah","A reading from the prophet Isaiah.",,
75,"James","A reading from the epistle of James.",,
23,"Jeremiah","A reading from the prophet Jeremiah.",,
17,"Job","A reading from the book of Job.",,
28,"Joel","A reading from the prophet Joel.",,
59,"John","A reading from John’s Gospel.",,
31,"Jonah","A reading from the book of Jonah.",,
6,"Joshua","A reading from the book of Joshua.",,
81,"Jude","A reading from the epistle of Jude.",,
7,"Judges","A reading from the book of Judges.",,
40,"Judith","A reading from the book of Judith.",,
24,"Lamentations","A reading from the book of Lamentations.",,
47,"Letter of Jeremiah","A reading from the Letter of Jeremiah.",,
3,"Leviticus","A reading from the book of Leviticus.",,
58,"Luke","A reading from Luke’s Gospel.",,
38,"Malachi","A reading from the prophet Malachi.",,
57,"Mark","A reading from Mark’s Gospel.",,
56,"Matthew","A reading from Matthew’s Gospel.",,
32,"Micah","A reading from the prophet Micah.",,
33,"Nahum","A reading from the prophet Nahum.",,
4,"Numbers","A reading from the book of Numbers.",,
30,"Obadiah","A reading from the prophet Obadiah.",,
73,"Philemon","A reading from Paul’s epistle to Philemon.",,
66,"Philippians","A reading from Paul’s epistle to the church in Phillipi.",,
48,"Prayer of Azariah and the Song of the Three Jews","A reading from the Prayer of Azariah.",,
55,"Prayer of Manasseh","A reading from the book of Manasseh.",,
19,"Proverbs","A reading from the book of Proverbs.",,
18,"Psalms","A reading from the Psalms.",,
82,"Revelation","A reading from John’s Revelation.",,
61,"Romans","A reading from Paul’s epistle to the Romans.",,
8,"Ruth","A reading from the book of Ruth.",,
43,"Sirach (Ecclesiasticus)","A reading from the book of Sirach.",,
21,"Song of Solomon","A reading from the Song of Solomon.",,
49,"Susanna","A reading from the book of Susanna.",,
72,"Titus","A reading from the book of Titus.",,
39,"Tobit","A reading from the book of Tobit.",,
42,"Wisdom of Solomon","A reading from the Wisdom of Solomon.",,
37,"Zechariah","A reading from the prophet Zechariah.",,
35,"Zephaniah","A reading from the prophet Zephaniah.",,
